case_id,bucket,category,reason_category,account_age_days,total_orders_at_time,total_returns_at_time,return_to_order_ratio,days_since_last_return,returns_last_30d,returns_last_90d,order_value,discount_pct,order_value_ratio,seller_return_rate,seller_age_days,shared_device_flag,email_verified,phone_verified,image_uploaded,within_return_window,days_left_to_return,is_non_returnable,narrative,expected_verdict,expected_reasoning_tag,notes
R3-02,R3,Clothing,not_fit,800,10,1,0.1,90,0,0,42000,40,2.8,0.12,600,0,1,1,0,1,15,0,"Customer returns 4 designer jackets purchased in one order, all citing sizing issues, with a high discount applied.",Escalate,R3 + R9 corroboration,"Bulk high-value AND discount-driven — two rules co-firing, still Escalate not Reject without further evidence"
R3-03,R3,Electronics,quality_issue,2500,30,2,0.067,150,0,1,58000,3,3.5,0.06,1200,0,1,1,1,1,4,0,"Established account (2500 days) returns 3 identical high-end laptops citing 'quality issue,' first time this pattern has occurred.",Escalate,R3,"Even a trusted, established account triggers R3 on this pattern — account trust doesn't override bulk-identical-item resale signal"
R3-04,R3,Appliances,not_fit,600,7,0,0,-1,0,0,3800,10,1.1,0.08,400,0,1,1,0,1,20,0,"Customer returns 2 identical low-value kitchen appliances (₹3,800 total) citing preference change — below the high-value threshold.",Auto-Approve,N/A - does not meet R3 threshold,"Control case: quantity alone (2 units, low value) does not trigger R3 — value + count together are both needed"
R3-05,R3,Electronics,not_fit,150,3,0,0,-1,0,0,90000,0,4,0.05,300,1,0,0,0,1,10,0,Very new account (150 days) returns 3 flagship tablets in one batch; shared_device_flag is set.,Escalate,R3 + R6 + R8 corroboration,"Triple-signal case — new account, bulk high-value, shared device — strong composite fraud picture"
R4-01,R4,Clothing,damaged,1800,25,1,0.04,400,5,5,2200,15,1,0.09,700,0,1,1,1,1,5,0,"Account with historically 4% return ratio suddenly has 5 returns in the last 30 days, all citing 'damaged.'",Escalate,R4,Textbook sudden spike — sustained-low-ratio-then-spike is the exact R4 pattern
R4-02,R4,Electronics,quality_issue,3200,50,2,0.04,600,6,6,15000,8,1.1,0.06,900,0,1,1,1,1,6,0,"Long-standing account (3200 days, historically near-zero returns) suddenly returns 6 items in 30 days.",Escalate,R4 — explicitly excluded from Trusted Override,Section 6b explicitly excludes this pattern from the override despite long account age — sudden spike overrides trust
R4-03,R4,Footwear,not_fit,900,15,3,0.2,45,2,3,2800,20,1,0.1,500,0,1,1,0,1,25,0,Account with a historically moderate (not low) return ratio of 20% has 2 returns in 30 days.,Auto-Approve,N/A - does not meet R4 threshold,Control case: R4 requires the *contrast* between historically low ratio and sudden spike — this account was never low to begin with
R4-04,R4,Beauty,damaged,2000,30,1,0.033,700,5,5,600,0,1,0.08,450,0,1,1,1,1,4,0,"Low-value items, but same sudden-spike pattern as R4-01 — testing whether the rule fires regardless of order value.",Escalate,R4,R4 is value-agnostic in its definition — should still fire on low-value items
R4-05,R4,Electronics,damaged,2500,40,2,0.05,500,4,4,52000,5,1.3,0.07,1000,0,1,1,1,1,3,0,Sudden spike (4 returns in 30 days from a historically 5% account) combined with high order value.,Escalate,R4 + high-value corroboration,"Composite case — spike plus value should still resolve to Escalate, not auto-reject, per R4's own text"
R5-01,R5,Clothing,not_fit,1500,20,4,0.2,60,1,3,3200,10,1,0.09,600,0,1,1,0,1,0,0,Customer's past 4 returns were each submitted exactly on the last eligible day of the return window; this one is too (day 10 of 10).,Auto-Approve,"R5 (soft signal, no corroboration)",R5 alone increases risk score in the Risk Agent but is not sufficient for Escalate/Reject without a corroborating signal — this isolated case should still Auto-Approve since no other flag is present
R5-02,R5,Electronics,quality_issue,2200,25,3,0.12,30,1,2,48000,5,1.2,0.06,900,0,1,1,1,1,0,0,"High-value electronics return submitted on the exact last day of window, paired with a plausible quality-issue reason and image evidence.",Auto-Approve,N/A - R5 present but corroborated by strong legitimate evidence,Timing alone isn't disqualifying when reason and evidence are otherwise clean — R5 shouldn't override good evidence
R5-03,R5,Footwear,not_fit,700,12,5,0.42,10,3,5,2100,15,1,0.11,400,0,1,1,0,1,0,0,"Last-day-of-window return, but return_to_order_ratio is 42% (Serial Returner territory) — R5 combines with a Serial Returner signal.",Escalate,R5 + Serial Returner corroboration,"R5 alone is weak, but combined with return_to_order_ratio > 40% this becomes a corroborated Escalate case"
R5-04,R5,Beauty,not_fit,1000,15,2,0.133,45,1,2,500,0,1,0.08,350,0,1,1,0,1,0,0,"Low-value item, last-day-of-window return, isolated incident, no other risk signals present.",Auto-Approve,N/A - R5 alone insufficient,Control case confirming R5 truly requires corroboration — isolated low-value case should Auto-Approve
R6-01,R6,Electronics,not_fit,45,1,0,0,-1,0,0,78000,5,3.8,0.05,1500,0,1,1,0,1,7,0,"Account created 45 days ago places and then returns a single ₹78,000 order — first order, first return, citing 'doesn't fit my needs.'",Escalate,R6,New account + high value alone increases risk but this is a first order that could legitimately be a gift purchase — corroboration needed before harder action
R6-02,R6,Electronics,not_fit,30,1,0,0,-1,0,0,95000,0,4.5,0.04,2000,1,0,0,0,1,10,0,"Same pattern as R6-01, but shared_device_flag is also set and email/phone are unverified.",Escalate,R6 + R8 corroboration,"Multiple weak signals now corroborate each other — still Escalate (per R8's instruction), not Reject"
R6-03,R6,Furniture,damaged,20,1,0,0,-1,0,0,3500,10,1,0.09,300,0,1,1,1,1,5,0,"Very new account, but order value is low (₹3,500) and image evidence supports genuine damage.",Auto-Approve,"N/A - R6 requires high value, not present here","Control case: new account alone, without high order_value_ratio, does not trigger R6"
R6-04,R6,Electronics,not_fit,60,2,0,0,-1,0,0,62000,0,3.2,0.06,1100,0,1,1,1,1,8,0,"New account, high-value order, but image evidence provided and reason is plausible, no other risk signals.",Escalate,R6 (soft),"Even with good evidence, R6 as a new-account+high-value pairing should still route through Section 2's High-Value Order Verification gate rather than skip straight to Auto-Approve"
R7-01,R7,Clothing,not_fit,2000,25,3,0.12,90,1,2,4200,20,1,0.38,200,0,1,1,0,1,10,0,"Otherwise unremarkable return, but the seller's historical return rate is 38% — far above typical range.",Auto-Approve,"R7 (soft signal, no corroboration)",Seller-level signal alone raises risk in the Risk Agent but doesn't indict this specific customer's claim — should still Auto-Approve since the customer-side evidence is otherwise clean
R7-02,R7,Electronics,quality_issue,1500,18,2,0.11,60,0,1,15000,5,1.1,0.35,150,0,1,1,1,1,5,0,High seller_return_rate (35%) combined with a last-day-of-window return (R5) on the same order.,Escalate,R7 + R5 corroboration,Two soft signals from different agents (seller-level + timing) combine to justify Escalate
R7-03,R7,Footwear,damaged,3000,35,4,0.114,120,0,1,1800,10,1,0.09,700,0,1,1,1,1,15,0,"Normal seller (9% return rate), genuine damage claim with image — used as a contrast case against R7-01/R7-02.",Auto-Approve,N/A - seller return rate is normal,Control case confirming R7 only matters when seller_return_rate is genuinely elevated
R7-04,R7,Beauty,wrong_item,500,6,1,0.167,20,1,1,650,0,1,0.41,100,0,0,0,0,1,4,0,"Very new seller (100 days) with a 41% return rate, unverified customer account, no image evidence.",Escalate,R7 + evidence gap corroboration,New high-return-rate seller plus missing evidence plus unverified account — multiple weak signals corroborate
R8-01,R8,Electronics,not_fit,200,3,0,0,-1,0,0,22000,10,1.5,0.07,800,1,1,1,0,1,6,0,"Otherwise unremarkable return; shared_device_flag is set, meaning this device has been used by other accounts.",Escalate,R8,Textbook R8 — relational signal alone justifies human review regardless of other factors
R8-02,R8,Clothing,not_fit,3000,40,3,0.075,200,0,1,2500,15,1,0.08,500,0,1,1,1,1,20,0,"Long-standing, well-behaved account, but shared_device_flag is set on this particular return.",Escalate,R8 overrides account trust for this check,Even a trusted account profile doesn't bypass R8 — device-sharing needs a human check for linked-account abuse
R8-03,R8,Footwear,not_fit,900,10,1,0.1,90,0,0,1800,20,1,0.1,400,0,1,1,0,1,10,0,"Normal case, shared_device_flag is NOT set — used as a contrast/control case.",Auto-Approve,N/A - R8 does not apply,Control case confirming the absence of shared_device_flag does not trigger unnecessary escalation
R8-04,R8,Electronics,not_fit,100,2,0,0,-1,0,0,55000,5,2.8,0.06,1200,1,0,0,0,1,5,0,"New account, high value, shared device, unverified contact info — maximal composite of new-account-fraud-adjacent signals.",Escalate,R6 + R8 corroboration (strongest composite case in set),"Deliberately stacks multiple rules to test whether Orchestrator correctly cites all contributing signals, not just one"
R9-01,R9,Clothing,not_fit,600,8,1,0.125,30,0,0,8500,65,1,0.1,500,0,1,1,0,1,8,0,"Heavily discounted (65% off) designer outfit, purchased and returned 8 days later citing 'doesn't fit,' first return on account.",Escalate,R9,Textbook Wardrobing sub-signal — high discount + lifestyle category + fit-based reason
R9-02,R9,Footwear,not_fit,900,10,0,0,-1,0,0,6200,55,1,0.08,600,0,1,1,0,1,29,0,"Discounted shoes (55% off) returned on day 29 of a 30-day window citing 'didn't like it' — near end of window, matches wardrobing timing pattern.",Escalate,R9 + R5 corroboration,Discount-driven reason plus near-window-boundary timing — two Wardrobing-adjacent signals
R9-03,R9,Electronics,not_fit,1200,15,2,0.133,45,0,1,32000,60,1.1,0.07,900,0,1,1,0,1,6,0,Heavily discounted electronics item returned citing 'doesn't fit my needs' — testing whether R9 fires outside strictly 'lifestyle' categories.,Auto-Approve,R9 boundary — does not clearly apply outside lifestyle categories,"R9 as written targets lifestyle/high-value fashion categories specifically; 'doesn't fit' is a stretch reason for Electronics, so this should not auto-trigger R9 — worth clarifying with team whether R9 should generalize further"
R9-04,R9,Clothing,quality_issue,2000,25,3,0.12,100,0,1,3200,10,1,0.09,550,0,1,1,1,1,12,0,"Low discount (10%), reason is quality_issue (not fit-based) with image evidence — contrast case against R9-01.",Auto-Approve,N/A - R9 does not apply,Control case: neither high discount nor fit-based reason present — should not trigger R9
R9-05,R9,Clothing,not_fit,400,5,0,0,-1,0,0,12000,70,1,0.11,450,0,1,1,0,1,9,0,"Very high discount (70%) on a mid-value lifestyle item, new-ish account, first return, 'didn't like it' reason.",Escalate,R9 + R6 corroboration (newer account),Discount-driven Wardrobing pattern reinforced by relatively new account — still Escalate not Reject
TCO-01,TCO-apply,Clothing,not_fit,1200,20,1,0.05,300,0,1,4500,10,1,0.08,600,0,1,1,0,1,15,0,"Account age 1200 days (>3yr threshold... actually need >1095 days for 3yr), historical return ratio sustained low (3.3%), no prior fraud, order value ₹4,500 (<10k), only a minor Text Reasoning plausibility flag with no other corroboration.",Auto-Approve,Section 6b override,Meets all four override conditions exactly — should Auto-Approve despite the minor flag
TCO-02,TCO-apply,Footwear,not_fit,1500,30,1,0.033,500,0,0,2800,5,1,0.07,700,0,1,1,1,1,20,0,"Long-standing account (1500 days), 3.3% sustained return ratio, no fraud history, low order value, minor ambiguity in stated reason only.",Auto-Approve,Section 6b override,Second clean override case — confirms the override isn't a one-off fluke
TCO-03,TCO-apply,Beauty,quality_issue,2000,45,2,0.044,400,0,1,1200,0,1,0.06,900,0,1,1,0,1,5,0,"Very established account (2000 days), 4.4% historical ratio, no fraud, low value, single Text Reasoning flag with no corroboration from other agents.",Auto-Approve,Section 6b override,Confirms override applies regardless of specific category
TCO-04,TCO-apply,Electronics,not_fit,1100,18,1,0.056,250,0,1,6800,15,1,0.09,650,0,1,1,1,1,7,0,"Account just over 3yr threshold, 5.6% ratio (just under 5% sustained... borderline), order value ₹6,800 (under 10k), minor flag only.",Auto-Approve,Section 6b override (borderline ratio),Tests the override at the edge of its 5% ratio threshold — team should confirm exact inclusive/exclusive boundary
TCO-05,TCO-apply,Toys,not_fit,1300,22,1,0.045,600,0,0,3200,20,1,0.08,500,0,1,1,0,1,3,0,"Clean override case in a low-stakes category, testing the override away from lifestyle/electronics.",Auto-Approve,Section 6b override,Confirms override is category-agnostic as written
TCO-EX-01,TCO-exclude,Clothing,not_fit,1500,25,1,0.04,300,0,1,15000,10,1,0.08,600,0,1,1,0,1,10,0,"Otherwise-perfect trusted profile (age, ratio, no fraud) BUT order value is ₹15,000 — exceeds the ₹10,000 override cap.",Escalate,Section 6b explicitly excludes — value >= 10k,Tests the value-cap exclusion specifically — should NOT auto-approve despite trust profile
TCO-EX-02,TCO-exclude,Footwear,not_fit,1400,20,1,0.05,300,5,5,4500,10,1,0.07,550,0,1,1,0,1,12,0,"Long-standing trusted account, low value, BUT this return is part of a sudden spike (5 returns in 30 days) — R4 applies.",Escalate,Section 6b explicitly excludes — R4 sudden spike present,Tests the R4 exclusion — trust profile must not override an active sudden-spike pattern
TCO-EX-03,TCO-exclude,Electronics,wrong_item,1600,28,2,0.071,200,0,1,8500,5,1,0.06,700,0,1,1,1,1,4,0,"Trusted profile and low value, BUT customer's reason is directly contradicted by delivery proof (R1 hard signal present).",Escalate,Section 6b explicitly excludes — R1 hard signal present,"Tests the hard-signal exclusion — R1's contradiction is not a 'minor inconsistency,' so override cannot apply"
TCO-EX-04,TCO-exclude,Beauty,not_fit,1350,24,1,0.042,250,0,0,3500,10,1,0.72,450,0,1,1,0,1,6,0,"Trusted customer profile is clean, but Risk Score would land well above 0.30 due to an extremely high seller_return_rate (72%) on this order.",Escalate,Section 6b explicitly excludes — Risk Score >= 0.30 band,Tests the Risk Score gate exclusion — override only operates inside the <0.30 Auto-Approve band
PB-01,PolicyBoundary,Clothing,not_fit,1800,30,2,0.067,400,0,1,3200,10,0,-1,600,0,1,1,0,1,-1,0,Return submitted 1 day after the 10-day window closed; account is long-standing (1800 days) and low-risk otherwise.,Escalate,"Section 6c — window expired by 1 day, trusted profile","Textbook 6c case — should escalate for human discretion, not auto-reject on the hard cutoff"
PB-02,PolicyBoundary,Electronics,damaged,2200,35,1,0.029,600,0,0,45000,5,1.1,0.05,800,0,1,1,1,1,-1,0,"Window expired by 1 day, but this time the item is high-value AND the reason is a genuine defect with image evidence.",Escalate,Section 6c + High-Value Order Verification policy,Compounding factors still route to Escalate — human should weigh window exception against strong defect evidence
PB-03,PolicyBoundary,Footwear,not_fit,90,3,0,0,-1,0,0,2800,15,1,0.09,400,0,1,1,0,1,-1,0,"Window expired by 1 day, but account is brand new (90 days) with no trust history — contrast case against PB-01.",Escalate,"Section 4 general ambiguity rule (not 6c specifically, since no trust profile applies)","Tests whether the system incorrectly imports 6c's leniency for a new account with no trust basis — should still Escalate but the justification should differ from PB-01's, not cite 'trusted account'"
PB-04,PolicyBoundary,Beauty,not_fit,2500,50,3,0.06,300,0,1,900,20,1,0.08,500,0,1,1,1,1,-3,0,Window expired by 3 days (not 1) — testing whether the system correctly distinguishes a 1-day boundary case from a clearer violation.,Escalate,"Section 4 ambiguity, weaker case for 6c leniency","3 days past window is a materially different case from 1 day past — reasoning trail should reflect that distinction, even if verdict is still Escalate for this trusted account"
ISW-01,ItemSwap,Electronics,wrong_item,800,10,1,0.1,150,0,0,58000,5,1.2,0.06,900,0,1,1,1,1,5,0,Returned phone's IMEI does not match the IMEI recorded at time of original delivery — confirmed mismatch.,Auto-Reject,Policy corpus doc 01 — confirmed identifier mismatch,Confirmed hard mismatch is the one case in the Identity Verification policy that supports direct rejection
ISW-02,ItemSwap,Electronics,wrong_item,1200,15,0,0,-1,0,0,42000,10,1.1,0.05,700,0,1,1,0,1,7,0,"Serial number on returned laptop cannot be verified — no scan was captured at time of original dispatch, so match/mismatch is unconfirmable.",Escalate,Policy corpus doc 01 — unconfirmable identifier,"Per the policy doc, an unconfirmable identifier escalates rather than auto-rejects — distinct from ISW-01's confirmed case"
ISW-03,ItemSwap,Footwear,wrong_item,600,8,1,0.125,60,0,0,3500,15,1,0.1,400,0,1,1,1,1,10,0,Category (Footwear) does not carry a serial/IMEI identifier at all — customer claims wrong item was received.,Escalate,"Policy corpus doc 01 note — absence of identifier does not itself trigger escalation via R-rules, routes through R2 instead","Tests whether system correctly recognizes this isn't an Item Swap case at all (no identifier to check) — should route through the attribute-mismatch path (R2), not the identity-verification path"
DIMG-01,DeceptiveImage,Electronics,damaged,1000,12,1,0.083,90,0,0,32000,10,1,0.07,700,0,1,1,1,1,6,0,"Customer claims a cracked screen; uploaded image shows the device from an extreme close-up angle on the corner only, with the rest of the screen out of frame — technically 'an image of damage' but not enough to confirm the crack is genuine or how extensive it is.",Escalate,"Evidence Consistency policy doc — image is inconclusive, not confirmatory",Naive image-consistency check would mark this 'evidence provided' and approve; correct behavior recognizes the image doesn't actually establish what it claims to and should not be treated as strong corroborating evidence
DIMG-02,DeceptiveImage,Clothing,damaged,1400,18,2,0.111,60,0,1,4200,15,1,0.08,550,0,1,1,1,1,9,0,"Customer claims a torn seam; uploaded image is taken from far away and low resolution, showing the garment folded in a way that obscures the claimed tear location entirely.",Escalate,Evidence Consistency policy doc — evidence unreadable/inconclusive,Image is present (image_uploaded=1) but functionally provides no verification — the system should not treat 'an image exists' as equivalent to 'the image supports the claim'
DIMG-03,DeceptiveImage,Electronics,damaged,2200,28,2,0.071,150,0,0,58000,5,1.1,0.06,900,0,1,1,1,1,4,0,"Customer claims water damage; uploaded image shows the device looking dry and undamaged from a normal angle, with no visible evidence of the claimed water exposure at all — the image actually appears to contradict rather than support the claim, but not with the clear-cut certainty of an R2 category mismatch (e.g. this could be internal damage not visible externally).",Escalate,R2-adjacent but weaker — visible condition doesn't confirm or rule out an internal defect claim,Boundary case between R2 (clear visual contradiction) and DIMG (inconclusive evidence) — water/internal damage claims are a known hard case since external appearance doesn't disprove internal defects; escalate rather than auto-reject on visual appearance alone
NR-01,NonReturnable,Grocery,damaged,1000,15,2,0.133,100,0,1,450,0,1,0.08,500,0,1,1,1,1,0,1,Grocery item marked is_non_returnable=1 (95% of grocery items per category policy); customer requests return citing damage.,Escalate,Non-returnable category doc — but damage claims may still route through exception logic,"Category is non-returnable by default, but a defect/damage claim may still warrant human review rather than a blanket reject — grocery windows are notably strict (0 days) so this tests that boundary"
NR-02,NonReturnable,Beauty,not_fit,1500,20,3,0.15,50,0,1,600,10,1,0.09,450,0,1,1,0,1,7,0,"Beauty category has a 40% non-returnable rate per category config; this specific item is marked non-returnable, customer cites preference change.",Auto-Reject,Non-returnable category doc — no defect exception applies,Preference-based reason (not damage/defect) on a confirmed non-returnable item has no exception path — should reject
NR-03,NonReturnable,Electronics,damaged,2000,25,1,0.04,200,0,0,35000,5,1,0.05,900,0,1,1,1,1,4,0,Product category is ambiguous between two listing categories (edge case not cleanly matching any single category document in the corpus).,Escalate,Policy Precedence clause — ambiguity after applying precedence,"Tests the Policy Precedence document directly — when category match itself is unclear, escalate rather than guess"
SAR-01,Sarcasm,Electronics,damaged,1400,18,2,0.111,80,0,1,12000,10,1,0.07,600,0,1,1,0,1,5,0,"Return reason text: 'yeah totally the item just arrived broken lol, definitely wasn't me.' Sarcastic tone but describes a plausible defect for the category.",Escalate,"Text Reasoning Agent — tone ambiguity, plausibility unclear despite sarcasm",Sarcasm makes intent genuinely ambiguous even though the underlying claim (damaged) is plausible for the category — human should assess tone context
SAR-02,Sarcasm,Clothing,not_fit,900,12,1,0.083,60,0,0,2200,15,1,0.09,500,0,1,1,1,1,10,0,"Return reason text: 'wow great quality product /s, doesn't fit at all obviously.' Sarcastic framing but image evidence supports a genuine sizing issue.",Auto-Approve,Text Reasoning Agent flags tone but evidence corroborates the claim,Tests whether strong corroborating evidence (image) should outweigh a sarcastic-but-plausible reason — sarcasm alone shouldn't override good evidence
SAR-03,Sarcasm,Beauty,quality_issue,500,6,0,0,-1,0,0,800,5,1,0.1,350,0,0,0,0,1,15,0,"Return reason text is sarcastic AND vague ('sure, 'quality product', whatever') with no image, new unverified account.",Escalate,Text Reasoning Agent tone flag + evidence gap + new account corroboration,Multiple weak signals stacking with genuine tone ambiguity — appropriately escalates rather than guessing either direction
CTRL-L-01,Control-Legit,Electronics,damaged,1800,25,2,0.08,300,0,1,18000,5,1,0.06,900,0,1,1,1,1,6,0,"Established account, normal return ratio, genuine defect reason, image evidence provided, well within window, normal seller.",Auto-Approve,Clean legitimate — no flags anywhere,Baseline sanity case: nothing here should trigger any rule
CTRL-L-02,Control-Legit,Books,wrong_item,900,10,1,0.1,150,0,0,450,0,1,0.07,400,0,1,1,1,1,4,0,"Low-value book, wrong item delivered, clear image evidence, normal account history.",Auto-Approve,Clean legitimate,"Baseline sanity case, low-stakes category"
CTRL-L-03,Control-Legit,Furniture,damaged,2200,30,3,0.1,200,0,1,25000,10,1,0.08,700,0,1,1,1,1,5,0,"Furniture arrived visibly damaged, image evidence clear, normal account, normal seller.",Auto-Approve,Clean legitimate,"Baseline sanity case, higher-value but clean"
CTRL-L-04,Control-Legit,Toys,quality_issue,1200,15,1,0.067,400,0,0,650,15,1,0.09,500,0,1,1,1,1,6,0,"Toy has a genuine quality defect, image provided, unremarkable account.",Auto-Approve,Clean legitimate,Baseline sanity case
CTRL-L-05,Control-Legit,Sports,not_fit,1600,20,2,0.1,250,0,1,3200,20,1,0.075,600,0,1,1,0,1,5,0,"Sizing issue on sports equipment, no image (not typically needed for sizing), otherwise unremarkable account.",Auto-Approve,"Clean legitimate, no image needed for this reason type",Baseline sanity case confirming image absence isn't disqualifying for size-based claims
CTRL-F-01,Control-Fraud,Electronics,wrong_item,70,1,0,0,-1,0,0,72000,0,4.2,0.06,1500,1,0,0,0,1,8,0,"Brand-new unverified account, first order, high-value item, shared device flag, no image, claims wrong item on a confirmed-matching-IMEI product.",Auto-Reject,Multiple confirmed hard signals: identity match confirmed correct + new account + shared device + no evidence,"Maximal, unambiguous fraud composite — this is the clearest possible reject case in the set"
CTRL-F-02,Control-Fraud,Clothing,not_fit,400,20,9,0.45,5,6,8,3200,60,1,0.09,550,0,1,1,0,1,29,0,"Return-to-order ratio 45% (well above Serial Returner threshold), 6 returns in last 30 days, near-window-boundary timing, high discount.",Auto-Reject,Serial Returner (ratio > 40%) + R4 sudden spike + R5 timing + R9 discount — heavily corroborated,"Multiple independently-sufficient signals all pointing the same direction — should support Reject, not just Escalate"
CTRL-F-03,Control-Fraud,Electronics,wrong_item,500,8,2,0.25,20,1,2,68000,2,3.9,0.06,1100,0,1,1,1,1,3,0,"Confirmed IMEI mismatch (Item Swap hard signal) on a high-value order from a relatively new, already-flagged account.",Auto-Reject,Policy corpus doc 01 confirmed mismatch is independently sufficient for reject,"Confirmed identifier mismatch alone supports reject per policy — additional risk signals here are corroborating, not required"
CTRL-F-04,Control-Fraud,Grocery,damaged,300,5,3,0.6,3,3,3,350,0,1,0.85,150,0,0,0,0,1,-2,1,"Non-returnable grocery item, window already expired by 2 days, extremely high return ratio (60%), extremely high seller_return_rate (85% — likely a colluding seller), new unverified account.",Auto-Reject,"Non-returnable + window expired + serial returner + seller collusion signal, all stacking",Maximal composite fraud case combining a hard policy violation with multiple corroborating behavioral signals
CTRL-F-05,Control-Fraud,Electronics,not_fit,200,4,0,0,-1,0,0,85000,0,4.8,0.05,1800,1,0,0,0,1,9,0,"New account, extreme order value relative to any history, shared device, unverified contact, no image, generic low-effort reason.",Escalate,R6 + R8 + evidence gap corroboration — strong but not policy-confirmed,"Deliberately kept at Escalate rather than Reject: despite many red flags, there is no *confirmed* hard signal (no identity mismatch, no delivery contradiction) — tests whether the system correctly withholds Auto-Reject without a confirmed violation, per Section 4's own rule"
MA-01,MultiAgent,Electronics,damaged,420,34,3,0.09,140,0,1,85000,8,3.8,0.05,1500,0,1,1,1,1,4,0,"Risk model flags high risk because of expensive order, but uploaded image clearly shows a cracked laptop hinge and customer history is clean.",Escalate,Section 5 evidence-priority conflict — Policy + evidence vs Risk Agent,Risk Agent and Evidence Agent disagree.
MA-02,MultiAgent,Beauty,changed_mind,900,82,2,0.02,240,0,0,850,0,0.6,0.04,2200,0,1,1,0,1,6,1,Customer wants to return unopened beauty product because they changed their mind.,Auto-Reject,Policy Precedence + Non-returnable policy,Policy should override low fraud risk.
MA-03,MultiAgent,Electronics,damaged,1850,245,6,0.02,210,1,1,120000,5,6.2,0.05,2400,0,1,1,0,1,2,0,"Trusted customer purchases a very expensive laptop and claims it arrived damaged, but provides no supporting image.",Escalate,High-Value Order Verification policy,Trusted account but high-value verification incomplete.
